query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,2.866088152,0.166,0.4,0.4,0.133,0.618,0.105,0.043,0.087,0.087
"Who is considered the ""Father of the United States""?",3.937673807,0,0,0,0,0,0,0,0,0
economic,2.520019531,0.16,0.4,0.4,0.133,0.643,0.1,0.04,0.08,0.08
When was the United Nations founded?,3.759567499,0,0,0,0.033,0.033,0.026,0,0,0.022
video gaming,3.876742363,0,0,0,0.033,0.091,0.026,0,0,0.022
3D printing technology,3.199669838,0,0,0,0.033,0.062,0.027,0,0,0.023
"Who is the author of ""1984""?",3.112419367,0,0,0,0,0,0,0,0,0
bioinformatics,3.037678242,0.404,0.4,0.4,0.333,0.494,0.408,0.105,0.211,0.526
Who is known for proposing the heliocentric model of the solar system?,3.645738125,0,0,0,0,0,0,0,0,0
Describe the process of water erosion.,3.134153605,0.174,0.2,0.4,0.2,0.473,0.154,0.021,0.083,0.125
When was the Berlin Wall constructed?,3.112903118,0,0,0.1,0.067,0.139,0.051,0,0.02,0.041
"What is the meaning of the term ""Habeas Corpus""?",3.079908609,0.081,0.2,0.1,0.067,0.591,0.051,0.02,0.02,0.041
telecommunications,3.02957654,0.139,0.2,0.1,0.1,0.398,0.107,0.038,0.038,0.115
internet,2.972456932,0.137,0.4,0.2,0.1,0.583,0.083,0.048,0.048,0.071
What are the characteristics of a chemical element?,2.832706928,0,0,0,0.033,0.037,0.025,0,0,0.02
Describe the structure of a plant cell.,3.018121481,0,0,0.1,0.067,0.146,0.051,0,0.02,0.041
"Who painted ""Starry Night""?",3.13299036,0,0,0,0.067,0.06,0.064,0,0,0.061
computer,3.099269152,0.138,0.2,0.2,0.133,0.426,0.105,0.022,0.043,0.087
What is the structure of the Earth's layers?,3.01396656,0,0,0.1,0.033,0.125,0.027,0,0.023,0.023
When did World War II end?,3.651790857,0,0,0,0.033,0.083,0.025,0,0,0.02
When was the Gutenberg printing press invented?,3.027805805,0.138,0.2,0.1,0.133,0.187,0.105,0.022,0.022,0.087
medicine,2.941173077,0.253,0.6,0.3,0.2,0.498,0.16,0.067,0.067,0.133
Describe the water cycle.,3.106743097,0.112,0.2,0.2,0.1,0.215,0.078,0.021,0.043,0.064
artificial intelligence,2.803064823,0.116,0.2,0.1,0.1,0.155,0.082,0.023,0.023,0.07
physics,3.139313459,0.113,0.2,0.2,0.1,0.491,0.079,0.022,0.043,0.065
nanotechnology,3.600106716,0.572,0.6,0.8,0.7,0.794,0.546,0.064,0.17,0.447
When did the Black Death pandemic occur?,4.216632366,0.083,0.2,0.2,0.067,0.667,0.052,0.021,0.043,0.043
neuroscience,3.479728699,0.275,0.2,0.1,0.567,0.482,0.442,0.021,0.021,0.362
snowboard,3.400230646,0.473,0.6,0.5,0.3,0.65,0.391,0.188,0.312,0.562
Who is the founder of modern psychology?,2.930426359,0.081,0.2,0.1,0.067,0.188,0.051,0.02,0.02,0.041
Average,3.222622204,0.1205,0.186666667,0.17,0.131066667,0.310966667,0.114033333,0.026866667,0.0479,0.1093
